scene_id,corridor,model,threshold,annotated_count,detected_count,TP,FP,FN,precision,recall,f1,count_ratio,signed_count_error_pct
Yakima-Toppenish_04_20260620,Yakima (arid),MODEL_B,0.95,43,20,8,12,35,0.4,0.186047,0.253968,0.465116,-53.4884
auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,MODEL_B,0.3,24,89,14,75,10,0.157303,0.583333,0.247788,3.708333,270.8333
auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,MODEL_B,0.5,24,63,14,49,10,0.222222,0.583333,0.321839,2.625,162.5
auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,MODEL_B,0.65,24,41,10,31,14,0.243902,0.416667,0.307692,1.708333,70.8333
auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,MODEL_B,0.7,24,34,8,26,16,0.235294,0.333333,0.275862,1.416667,41.6667
auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,MODEL_B,0.775,24,23,5,18,19,0.217391,0.208333,0.212766,0.958333,-4.1667
auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,MODEL_B,0.85,24,16,3,13,21,0.1875,0.125,0.15,0.666667,-33.3333
auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,MODEL_B,0.9,24,7,2,5,22,0.285714,0.083333,0.129032,0.291667,-70.8333
auburn-snoqualmie_01_20260425,auburn-snoqualmie/I-90,MODEL_B,0.95,24,3,1,2,23,0.333333,0.041667,0.074074,0.125,-87.5
auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,MODEL_B,0.3,42,103,24,79,18,0.23301,0.571429,0.331034,2.452381,145.2381
auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,MODEL_B,0.5,42,76,24,52,18,0.315789,0.571429,0.40678,1.809524,80.9524
auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,MODEL_B,0.65,42,57,24,33,18,0.421053,0.571429,0.484848,1.357143,35.7143
auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,MODEL_B,0.7,42,50,23,27,19,0.46,0.547619,0.5,1.190476,19.0476
auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,MODEL_B,0.775,42,44,22,22,20,0.5,0.52381,0.511628,1.047619,4.7619
auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,MODEL_B,0.85,42,32,19,13,23,0.59375,0.452381,0.513514,0.761905,-23.8095
auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,MODEL_B,0.9,42,24,14,10,28,0.583333,0.333333,0.424242,0.571429,-42.8571
auburn-snoqualmie_03_20260614,auburn-snoqualmie/I-90,MODEL_B,0.95,42,15,10,5,32,0.666667,0.238095,0.350877,0.357143,-64.2857
blaine-bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_B,0.3,18,113,16,97,2,0.141593,0.888889,0.244275,6.277778,527.7778
blaine-bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_B,0.5,18,77,15,62,3,0.194805,0.833333,0.315789,4.277778,327.7778
blaine-bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_B,0.65,18,55,11,44,7,0.2,0.611111,0.30137,3.055556,205.5556
blaine-bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_B,0.7,18,48,9,39,9,0.1875,0.5,0.272727,2.666667,166.6667
blaine-bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_B,0.775,18,35,8,27,10,0.228571,0.444444,0.301887,1.944444,94.4444
blaine-bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_B,0.85,18,24,7,17,11,0.291667,0.388889,0.333333,1.333333,33.3333
blaine-bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_B,0.9,18,13,5,8,13,0.384615,0.277778,0.322581,0.722222,-27.7778
blaine-bellingham_01_20260425,blaine-bellingham/I-5-north,MODEL_B,0.95,18,10,5,5,13,0.5,0.277778,0.357143,0.555556,-44.4444
blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,MODEL_B,0.3,50,94,28,66,22,0.297872,0.56,0.388889,1.88,88.0
blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,MODEL_B,0.5,50,68,24,44,26,0.352941,0.48,0.40678,1.36,36.0
blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,MODEL_B,0.65,50,50,19,31,31,0.38,0.38,0.38,1.0,0.0
blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,MODEL_B,0.7,50,45,17,28,33,0.377778,0.34,0.357895,0.9,-10.0
blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,MODEL_B,0.775,50,38,14,24,36,0.368421,0.28,0.318182,0.76,-24.0
blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,MODEL_B,0.85,50,29,11,18,39,0.37931,0.22,0.278481,0.58,-42.0
blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,MODEL_B,0.9,50,21,10,11,40,0.47619,0.2,0.28169,0.42,-58.0
blaine-bellingham_02_20260528,blaine-bellingham/I-5-north,MODEL_B,0.95,50,13,8,5,42,0.615385,0.16,0.253968,0.26,-74.0
blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,MODEL_B,0.3,29,147,20,127,9,0.136054,0.689655,0.227273,5.068966,406.8966
blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,MODEL_B,0.5,29,102,16,86,13,0.156863,0.551724,0.244275,3.517241,251.7241
blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,MODEL_B,0.65,29,77,15,62,14,0.194805,0.517241,0.283019,2.655172,165.5172
blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,MODEL_B,0.7,29,68,15,53,14,0.220588,0.517241,0.309278,2.344828,134.4828
blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,MODEL_B,0.775,29,47,12,35,17,0.255319,0.413793,0.315789,1.62069,62.069
blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,MODEL_B,0.85,29,30,8,22,21,0.266667,0.275862,0.271186,1.034483,3.4483
blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,MODEL_B,0.9,29,22,6,16,23,0.272727,0.206897,0.235294,0.758621,-24.1379
blaine-bellingham_03_20260504,blaine-bellingham/I-5-north,MODEL_B,0.95,29,12,4,8,25,0.333333,0.137931,0.195122,0.413793,-58.6207
polygon_01_20260503,polygon (Kent/Auburn),MODEL_B,0.3,19,118,11,107,8,0.09322,0.578947,0.160584,6.210526,521.0526
polygon_01_20260503,polygon (Kent/Auburn),MODEL_B,0.5,19,81,10,71,9,0.123457,0.526316,0.2,4.263158,326.3158
polygon_01_20260503,polygon (Kent/Auburn),MODEL_B,0.65,19,61,10,51,9,0.163934,0.526316,0.25,3.210526,221.0526
polygon_01_20260503,polygon (Kent/Auburn),MODEL_B,0.7,19,54,9,45,10,0.166667,0.473684,0.246575,2.842105,184.2105
polygon_01_20260503,polygon (Kent/Auburn),MODEL_B,0.775,19,42,8,34,11,0.190476,0.421053,0.262295,2.210526,121.0526
polygon_01_20260503,polygon (Kent/Auburn),MODEL_B,0.85,19,30,6,24,13,0.2,0.315789,0.244898,1.578947,57.8947
polygon_01_20260503,polygon (Kent/Auburn),MODEL_B,0.9,19,22,5,17,14,0.227273,0.263158,0.243902,1.157895,15.7895
polygon_01_20260503,polygon (Kent/Auburn),MODEL_B,0.95,19,17,4,13,15,0.235294,0.210526,0.222222,0.894737,-10.5263
spokane-i90_01_20260622,Spokane (arid),MODEL_B,0.3,55,140,35,105,20,0.25,0.636364,0.358974,2.545455,154.5455
spokane-i90_01_20260622,Spokane (arid),MODEL_B,0.5,55,82,29,53,26,0.353659,0.527273,0.423358,1.490909,49.0909
spokane-i90_01_20260622,Spokane (arid),MODEL_B,0.65,55,54,24,30,31,0.444444,0.436364,0.440367,0.981818,-1.8182
spokane-i90_01_20260622,Spokane (arid),MODEL_B,0.7,55,52,24,28,31,0.461538,0.436364,0.448598,0.945455,-5.4545
spokane-i90_01_20260622,Spokane (arid),MODEL_B,0.775,55,37,21,16,34,0.567568,0.381818,0.456522,0.672727,-32.7273
spokane-i90_01_20260622,Spokane (arid),MODEL_B,0.85,55,29,18,11,37,0.62069,0.327273,0.428571,0.527273,-47.2727
spokane-i90_01_20260622,Spokane (arid),MODEL_B,0.9,55,26,18,8,37,0.692308,0.327273,0.444444,0.472727,-52.7273
spokane-i90_01_20260622,Spokane (arid),MODEL_B,0.95,55,12,8,4,47,0.666667,0.145455,0.238806,0.218182,-78.1818
