model,window,threshold,TP,FP,FN,P,R,F1,ratio
warmup-v1,24,0.1,350,262,230,0.5718954248366013,0.603448275862069,0.587248322147651,1.0551724137931036
warmup-v1,24,0.15,348,253,232,0.5790349417637272,0.6,0.5893310753598645,1.0362068965517242
warmup-v1,24,0.2,345,244,235,0.5857385398981324,0.5948275862068966,0.5902480752780154,1.0155172413793103
warmup-v1,24,0.25,345,240,235,0.5897435897435898,0.5948275862068966,0.592274678111588,1.0086206896551724
warmup-v1,24,0.3,342,230,238,0.5979020979020979,0.5896551724137931,0.59375,0.9862068965517241
warmup-v1,24,0.35,337,220,243,0.6050269299820467,0.5810344827586207,0.592788038698329,0.9603448275862069
warmup-v1,24,0.4,334,209,246,0.6151012891344383,0.5758620689655173,0.5948352626892253,0.9362068965517242
warmup-v1,24,0.45,329,201,251,0.620754716981132,0.5672413793103448,0.5927927927927928,0.9137931034482759
warmup-v1,24,0.5,326,191,254,0.6305609284332688,0.5620689655172414,0.5943482224247949,0.8913793103448275
warmup-v1,24,0.55,323,182,257,0.6396039603960396,0.5568965517241379,0.5953917050691244,0.8706896551724138
warmup-v1,24,0.6,317,170,263,0.6509240246406571,0.5465517241379311,0.5941893158388004,0.8396551724137931
warmup-v1,24,0.65,308,152,272,0.6695652173913044,0.5310344827586206,0.5923076923076923,0.7931034482758621
warmup-v1,24,0.7,300,139,280,0.683371298405467,0.5172413793103449,0.5888125613346418,0.756896551724138
warmup-v1,24,0.75,290,119,290,0.7090464547677262,0.5,0.5864509605662285,0.7051724137931035
warmup-v1,24,0.8,273,107,307,0.718421052631579,0.4706896551724138,0.56875,0.6551724137931034
warmup-v1,24,0.85,248,87,332,0.7402985074626866,0.42758620689655175,0.5420765027322404,0.5775862068965517
warmup-v1,24,0.9,222,60,358,0.7872340425531915,0.38275862068965516,0.5150812064965197,0.4862068965517241
warmup-v1,24,0.95,172,44,408,0.7962962962962963,0.296551724137931,0.4321608040201005,0.3724137931034483
warmup-v1,32,0.05,392,288,188,0.5764705882352941,0.6758620689655173,0.6222222222222222,1.1724137931034482
warmup-v1,32,0.1,382,263,198,0.5922480620155038,0.6586206896551724,0.6236734693877551,1.1120689655172413
warmup-v1,32,0.15,373,253,207,0.5958466453674122,0.6431034482758621,0.6185737976782753,1.0793103448275863
warmup-v1,32,0.2,362,237,218,0.6043405676126878,0.6241379310344828,0.6140797285835454,1.032758620689655
warmup-v1,32,0.25,356,229,224,0.6085470085470085,0.6137931034482759,0.6111587982832618,1.0086206896551724
warmup-v1,32,0.3,352,219,228,0.6164623467600701,0.6068965517241379,0.6116420503909644,0.9844827586206897
warmup-v1,32,0.35,342,200,238,0.6309963099630996,0.5896551724137931,0.6096256684491979,0.9344827586206896
warmup-v1,32,0.4,334,192,246,0.6349809885931559,0.5758620689655173,0.6039783001808319,0.906896551724138
warmup-v1,32,0.45,326,185,254,0.6379647749510763,0.5620689655172414,0.5976168652612283,0.8810344827586207
warmup-v1,32,0.5,307,172,273,0.6409185803757829,0.5293103448275862,0.5797922568460812,0.8258620689655173
warmup-v1,32,0.55,295,158,285,0.6512141280353201,0.5086206896551724,0.5711519845111326,0.7810344827586206
warmup-v1,32,0.6,284,145,296,0.662004662004662,0.4896551724137931,0.5629335976214074,0.7396551724137931
warmup-v1,32,0.65,264,124,316,0.6804123711340206,0.45517241379310347,0.5454545454545454,0.6689655172413793
warmup-v1,32,0.7,253,109,327,0.6988950276243094,0.4362068965517241,0.5371549893842887,0.6241379310344828
warmup-v1,32,0.75,229,94,351,0.7089783281733746,0.39482758620689656,0.5071982281284607,0.5568965517241379
warmup-v1,32,0.8,211,80,369,0.7250859106529209,0.36379310344827587,0.4845005740528129,0.5017241379310344
warmup-v1,32,0.85,181,64,399,0.7387755102040816,0.3120689655172414,0.4387878787878788,0.4224137931034483
warmup-v1,32,0.9,160,47,420,0.7729468599033816,0.27586206896551724,0.40660736975857686,0.3568965517241379
warmup-v1,32,0.95,109,22,471,0.8320610687022901,0.1879310344827586,0.3066104078762307,0.22586206896551725
