model,window,scene,gt_area,quartile,found
adamiak-v2,24,Tacoma-Centralia_01_20260429,158.8682889058841,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,128.6680278676583,Q1,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,159.4976547401346,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,114.9570456453554,Q1,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,145.31414097410976,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,151.5668778289635,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,200.79481357858177,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,173.7977910664239,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,197.84113148781563,Q4,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,256.6230099108833,Q4,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,152.76966209053634,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,143.96929276191014,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,143.7235618592559,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,153.27067183444095,Q3,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,158.04013632062393,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,138.35926152848066,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,158.08050441002294,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,170.4477392797353,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,136.0027604701682,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,137.43926190064246,Q2,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,166.71336246896132,Q3,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,142.63150272009622,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,125.72547953366961,Q1,0
adamiak-v2,24,Tacoma-Centralia_01_20260429,136.33176226658443,Q2,1
adamiak-v2,24,Tacoma-Centralia_01_20260429,135.40061860619406,Q1,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,145.01556401415354,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,105.08072012287157,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,134.65547671456275,Q1,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,181.3068630342102,Q3,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,186.0453777457326,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,184.2270772581335,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,139.87630045193328,Q1,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,203.43399674903443,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,145.1856434541879,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,248.09302082975708,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,186.59939305859308,Q3,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,177.5013255665453,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,219.82857783061857,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,244.51151230647338,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,199.5716801755455,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,247.90044501169214,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,199.53058818770447,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,184.680648284955,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,158.83498113228882,Q2,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,232.2387551568176,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,154.72388883516751,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,133.40272426091187,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,178.51465878581985,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,153.27028123799795,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,136.1262985937989,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,109.19767336006205,Q1,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,126.69921341550418,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,191.00797026831236,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,180.55409696799487,Q3,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,179.24985626267187,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,177.2090708947757,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,177.6544203306289,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,198.09043306219326,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,224.5262619883354,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,221.40499839280287,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,199.56909708134012,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,177.53875660096475,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,217.64566764395715,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,212.03000373394772,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,203.10395646176627,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,213.96911398139613,Q4,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,157.022682457505,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,194.80184233811835,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,136.57134748244218,Q1,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,158.24754802270502,Q2,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,147.1621461058955,Q1,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,153.34514084816317,Q2,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,184.78429354702826,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,138.72016505409937,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,172.43275842715994,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,161.46766799067183,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,140.18855804228366,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,170.16226628946828,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,175.23521169760582,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,167.81784911463168,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,170.05744296078203,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,141.51697109144493,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,136.38262869681546,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,143.00812366710952,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,145.61324855664046,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,124.88257450772842,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,141.18083030645636,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,133.2332439342096,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,163.82436140852988,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,152.68607089002865,Q1,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,227.53675406843533,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,214.32093001941797,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,186.8825915884793,Q3,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,192.1234314784217,Q4,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,158.14987955309272,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,166.60593437859458,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,172.80795707689563,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,165.72375326839264,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,186.77166346123343,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,157.37862612865644,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,168.36095694300732,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,171.14458775241604,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,145.26364430179427,Q1,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,168.21891521457914,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,166.10394735554925,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,160.06219362654838,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,187.0818610650386,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,170.3730007750063,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,162.17277606251233,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,157.56796081799632,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,155.8643278491887,Q2,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,167.417522983584,Q2,0
adamiak-v2,24,Tacoma-Centralia_02_20260602,177.85867709618898,Q3,1
adamiak-v2,24,Tacoma-Centralia_02_20260602,209.9340243541774,Q4,1
adamiak-v2,24,Tri-Cities-New_01_20260611,117.28378742953235,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,139.28143030819595,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,184.59884291160768,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,217.23069700356814,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,112.73276938204597,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,116.4781819939435,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,148.65526343759262,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,147.6967812441636,Q3,1
adamiak-v2,24,Tri-Cities-New_01_20260611,118.32535377025032,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,101.30276282328049,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,102.45299564311071,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,180.22330187039177,Q4,1
adamiak-v2,24,Tri-Cities-New_01_20260611,138.94527262044772,Q3,0
adamiak-v2,24,Tri-Cities-New_01_20260611,135.7354239349572,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,97.32554129178328,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,92.38901222430376,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,102.76738128940596,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,135.24851845346754,Q2,0
adamiak-v2,24,Tri-Cities-New_01_20260611,116.75842494456661,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,136.3756334812633,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,132.16487447636976,Q2,1
adamiak-v2,24,Tri-Cities-New_01_20260611,96.05961973826325,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,99.52122874700814,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,175.49508181645547,Q4,0
adamiak-v2,24,Tri-Cities-New_01_20260611,114.7745251147633,Q1,1
adamiak-v2,24,Tri-Cities-New_01_20260611,110.97991648585864,Q1,0
adamiak-v2,24,Tri-Cities-New_01_20260611,74.35996547541274,Q1,0
